level_0,index,ran_lat,ran_lng,Name,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),lat,lng
182,281,67.82945087669111,-162.9961019402079,nome,us,53.6,58.0,90.0,18.34,64.5,-165.41
183,283,21.14119372526264,10.639752909968536,bilma,ne,90.73,21.0,30.0,6.78,18.69,12.92
184,284,55.76644626277471,-122.20351016850933,mackenzie,ca,57.2,76.0,1.0,3.36,55.3,-123.17
185,286,14.952695681958545,-91.72463401457323,san antonio sacatepequez,gt,66.0,91.0,96.0,2.51,14.97,-91.73
186,287,51.0302431420499,25.757335308811946,olyka,ua,55.99,98.0,99.0,8.01,50.72,25.81
189,296,-70.75974670651225,75.16179262260337,saint-philippe,re,69.8,73.0,3.0,5.82,-21.36,55.77
191,298,53.06902082361063,54.82432801570749,sharlyk,ru,49.71,77.0,0.0,2.75,52.92,54.75
192,301,-26.838107738368528,-31.235076303140232,sao joao da barra,br,75.43,83.0,0.0,19.28,-21.64,-41.05
193,302,5.134332812388124,21.1131315386082,alindao,cf,67.39,96.0,79.0,1.43,5.03,21.21
194,308,36.93966328055441,-93.89220275239208,republic,us,66.2,32.0,1.0,4.7,37.12,-93.48
195,309,-14.145638360192649,-70.76562747696347,macusani,pe,40.28,80.0,90.0,7.85,-14.08,-70.43
196,310,47.393884885114005,177.7163204361965,nikolskoye,ru,54.0,81.0,0.0,8.95,59.7,30.79
197,311,53.560475596472344,-87.77881806928087,geraldton,ca,35.6,59.0,90.0,3.04,49.73,-86.95
198,312,-34.56374425332182,-76.41173438688621,talcahuano,cl,53.6,50.0,0.0,16.11,-36.72,-73.12
199,315,36.68083588029401,58.80160541466881,neyshabur,ir,56.84,37.0,0.0,1.32,36.21,58.8
200,316,40.02941360593593,40.13232125203979,bayburt,tr,48.09,78.0,0.0,0.2,40.26,40.23
201,317,27.224316818914133,-99.32646895561273,laredo,us,89.6,27.0,1.0,5.82,27.51,-99.51
202,319,-80.6353481189538,83.06139169938274,busselton,au,42.01,77.0,0.0,8.79,-33.65,115.33
203,321,55.06975441862616,101.87702833883145,kuytun,ru,25.81,94.0,0.0,2.73,54.34,101.5
204,323,14.76981180847072,62.384672738869824,sur,om,82.78,44.0,0.0,4.0,22.57,59.53
205,325,-27.013479074214025,-77.61502364848809,coquimbo,cl,55.4,66.0,40.0,9.17,-29.95,-71.34
206,327,28.037477063266678,34.85141061410738,hurghada,eg,86.0,30.0,0.0,11.41,27.26,33.81
207,330,45.86852239935041,87.61373323359197,changji,cn,44.6,45.0,29.0,4.47,44.02,87.32
208,333,27.992391429367032,-2.744699078786283,adrar,dz,93.38,10.0,0.0,9.28,25.75,-1.0
209,335,55.892500106383864,24.318005739100073,panevezys,lt,51.8,81.0,40.0,11.41,55.73,24.35
